frame,phase,state,detected,total_us,acquire_us,border_us,threshold_us,morphology_us,blobs_us,track_us,control_us,roi_w,roi_h,border,err,left,right
154,busca,SEARCHING,0,641,0,0,122,436,83,0,0,320,240,0,0.0000,0.480,-0.480
155,busca,SEARCHING,0,643,0,0,122,439,82,0,0,320,240,0,0.0000,0.480,-0.480
156,busca,SEARCHING,0,642,0,0,123,436,82,0,0,320,240,0,0.0000,0.480,-0.480
157,busca,SEARCHING,0,646,0,0,123,439,82,0,1,320,240,0,0.0000,0.480,-0.480
158,busca,SEARCHING,0,689,0,0,131,469,88,0,0,320,240,0,0.0000,0.480,-0.480
159,busca,SEARCHING,0,696,0,0,138,464,94,0,0,320,240,0,0.0000,0.480,-0.480
160,busca,SEARCHING,0,732,0,0,138,499,93,0,1,320,240,0,0.0000,0.480,-0.480
161,busca,SEARCHING,0,737,0,0,139,493,104,0,1,320,240,0,0.0000,0.480,-0.480
162,busca,SEARCHING,0,733,0,0,144,495,94,0,0,320,240,0,0.0000,0.480,-0.480
163,busca,SEARCHING,0,732,0,0,138,499,93,0,0,320,240,0,0.0000,0.480,-0.480
164,busca,SEARCHING,0,701,0,0,139,474,88,0,0,320,240,0,0.0000,0.480,-0.480
165,busca,SEARCHING,0,689,0,0,137,463,88,0,0,320,240,0,0.0000,0.480,-0.480
166,busca,SEARCHING,0,692,0,0,130,473,89,0,0,320,240,0,0.0000,0.480,-0.480
167,busca,SEARCHING,0,743,0,0,150,499,94,0,0,320,240,0,0.0000,0.480,-0.480
168,busca,SEARCHING,0,783,0,0,149,534,100,0,0,320,240,0,0.0000,0.480,-0.480
169,busca,SEARCHING,0,744,0,0,145,504,94,0,0,320,240,0,0.0000,0.480,-0.480
170,busca,SEARCHING,0,681,0,0,130,463,88,0,0,320,240,0,0.0000,0.480,-0.480
171,busca,SEARCHING,0,687,0,0,130,469,88,0,0,320,240,0,0.0000,0.480,-0.480
172,busca,SEARCHING,0,749,0,0,130,502,117,0,0,320,240,0,0.0000,0.480,-0.480
173,busca,SEARCHING,0,649,0,0,130,436,82,0,0,320,240,0,0.0000,0.480,-0.480
174,busca,SEARCHING,0,733,0,0,131,507,94,0,0,320,240,0,0.0000,0.480,-0.480
175,busca,SEARCHING,0,815,0,0,148,549,118,0,0,320,240,0,0.0000,0.480,-0.480
176,busca,SEARCHING,0,883,0,0,173,592,117,0,0,320,240,0,0.0000,0.480,-0.480
177,busca,SEARCHING,0,766,0,0,149,523,94,0,0,320,240,0,0.0000,0.480,-0.480
